ship_type,total_fuel_mt,fuel_per_nm_kg,co2_per_nm_kg,hours_at_sea
Bulk carrier,5897.6,100.43,316.03,6307.1
Bulk carrier,5313.799,104.08,327.52,5153.5
Bulk carrier,5669.718,100.94,318.62,5414.55
Bulk carrier,5394.158,101.15,316.45,5441.2
Bulk carrier,499.03,58.69,183.71,731.26
Vehicle carrier,4838.6,107.73,336.01,2972.6
Bulk carrier,2033.781,143.96,451.03,1341.27
Bulk carrier,481.653,65.03,203.33,635.2
Bulk carrier,822.811,64.96,203.75,1321.6
Bulk carrier,484.7,85.89,268.29,534.4
Bulk carrier,1412.3,169.65,528.67,839.5
Bulk carrier,1036.11,129.95,405.22,757.0
Bulk carrier,1982.1,95.55,298.82,1771.0
General cargo ship,599.99,67.2,200.79,782.7
Bulk carrier,1493.83,82.4,257.22,1586.5
Bulk carrier,1086.23,93.56,292.55,1052.0
Chemical tanker,2640.77,76.36,240.21,3253.5
Chemical tanker,1583.54,78.63,246.35,1881.3
Chemical tanker,2595.82,70.57,220.35,2960.97
Gas carrier,1304.62,67.67,212.24,2013.7
LNG carrier,8949.13,245.91,677.26,3268.47
Gas carrier,1210.23,113.71,355.38,888.42
Container ship,1387.13,153.54,479.37,823.85
Bulk carrier,472.57,61.28,191.33,745.0
Bulk carrier,1044.9,69.08,216.58,1505.0
Bulk carrier,918.84,62.7,196.3,1299.0
Container ship,2288.34,160.28,499.91,907.0
General cargo ship,1196.31,52.47,164.76,1879.93
General cargo ship,1307.39,53.24,167.27,2128.82
Bulk carrier,913.11,79.37,248.22,898.78
Bulk carrier,823.27,85.58,268.33,865.85
Bulk carrier,1141.37,94.81,296.46,1157.37
Bulk carrier,2634.68,109.34,342.48,2627.2
Bulk carrier,2849.77,114.36,358.05,2486.0
Oil tanker,1006.6,190.28,594.93,697.7
Bulk carrier,1541.31,78.96,247.09,1789.3
Bulk carrier,793.31,103.55,325.08,769.3
Container ship,8272.471,123.76,386.62,5111.05
Container ship,8619.14,126.14,394.37,5946.78
Bulk carrier,790.059,68.52,215.02,1055.0
General cargo ship,1708.8,41.33,131.33,4288.84
General cargo ship,1732.9,43.12,136.9,4141.01
General cargo ship,1691.53,40.48,128.12,4302.68
General cargo ship,1193.4,40.41,127.75,2976.03
Container ship,4597.99,93.23,290.44,3522.8
LNG carrier,2425.508,229.24,623.2,720.65
Bulk carrier,1041.0,75.64,236.89,1412.47
Bulk carrier,1522.69,76.87,243.0,1849.3
Bulk carrier,572.26,63.17,198.8,861.31
General cargo ship,225.2,81.21,256.08,221.17
Container/ro-ro cargo ship,1008.8,94.92,296.58,715.6
Container/ro-ro cargo ship,2021.02,100.69,315.13,1448.0
Container ship,2616.31,95.99,300.86,2524.68
General cargo ship,1686.84,78.24,245.45,1968.45
Bulk carrier,1356.16,83.01,261.05,1585.33
Bulk carrier,1070.09,92.21,288.1,913.5
Bulk carrier,533.52,99.65,314.44,480.2
Bulk carrier,2298.08333,106.02,331.37,2087.0
Bulk carrier,1213.4,74.8,234.64,1520.7
Bulk carrier,422.19,89.41,280.9,459.0
Bulk carrier,467.3,86.7,270.6,447.5
Bulk carrier,1419.31,89.68,280.5,1570.3
LNG carrier,2999.7913,286.13,768.27,683.23
Container ship,1880.32,267.84,836.12,542.22
Container ship,15483.97,256.1,797.96,4090.9
LNG carrier,10630.94,224.08,605.44,3620.13
LNG carrier,14217.59,217.95,585.0,4204.13
Bulk carrier,2279.79,101.75,319.49,1972.46
Bulk carrier,951.12,81.15,255.77,995.81
Container ship,21008.76,252.38,786.43,5436.4
Container ship,21253.94,249.41,778.67,5056.98
Container ship,7710.67,236.95,739.55,2262.0
General cargo ship,933.5,75.95,237.34,1563.5
Oil tanker,9531.5,332.24,1065.15,5685.52
Bulk carrier,2056.8801,81.04,254.88,3165.15
Bulk carrier,1144.85277,69.26,218.64,1454.4
General cargo ship,197.13,49.94,155.55,332.03
General cargo ship,550.75,53.47,166.96,923.1
Bulk carrier,446.28,96.08,299.77,441.4
Bulk carrier,1485.0,70.97,223.24,2210.78
Bulk carrier,2369.978,92.5,290.42,2257.61
Container ship,10570.60283,265.94,834.53,2264.0
Container ship,12355.22004,220.53,687.6,3688.92
Container ship,298.97,74.69,233.01,307.9
Bulk carrier,191.7,82.42,262.58,216.4
Container ship,2414.7,169.76,533.47,1060.48
Bulk carrier,1164.66,97.27,303.26,1011.58
Chemical tanker,4529.126,130.25,409.67,4159.2
Chemical tanker,4323.906,128.94,406.18,3957.61
Chemical tanker,3314.904,127.57,400.48,4012.67
LNG carrier,17705.287904,228.19,612.24,4653.4
LNG carrier,18478.832,247.03,664.39,4612.15
Bulk carrier,965.48,95.36,297.51,927.8
Bulk carrier,2973.76094,101.21,318.51,2717.55
Chemical tanker,848.321,82.57,259.82,825.66
Bulk carrier,1128.71,81.23,254.98,1429.75
Oil tanker,521.25,106.65,334.71,633.58
Oil tanker,2200.83,99.76,313.68,1911.52
Oil tanker,659.5,88.78,276.98,608.8
Oil tanker,3826.86,88.68,277.4,3629.97
General cargo ship,59.6,30.33,97.23,257.1
Oil tanker,8430.7,323.42,1036.87,4049.67
Container ship,2494.9,204.12,638.24,814.4
Container ship,17173.04,232.96,727.93,5171.72
Container ship,14698.89,279.64,872.52,3457.8
Bulk carrier,1769.95,103.31,323.48,1777.5
Bulk carrier,1334.69,98.3,307.49,1261.28
Bulk carrier,195.68,119.14,372.48,215.59
Gas carrier,1005.7,126.05,393.66,552.8
General cargo ship,1724.38,40.11,127.68,4450.47
Container ship,6409.37,173.48,542.6,2628.5
Container ship,1057.0,176.68,551.22,403.0
General cargo ship,1434.1,39.84,124.99,3505.88
General cargo ship,2154.96,37.13,116.7,5324.47
General cargo ship,1763.65,38.05,119.87,4666.66
General cargo ship,2066.065,39.32,123.69,4877.02
Chemical tanker,3647.552,106.57,335.2,3615.2
Bulk carrier,1193.34,91.24,287.34,1297.7
Ro-pax ship,1857.286,115.48,370.22,1975.2
Ro-ro ship,962.37,39.48,126.13,2623.45
Container ship,12708.59,182.49,573.52,5327.2
General cargo ship,720.94,27.95,89.62,4085.08
Container ship,29338.4,300.46,936.3,5822.0
Container ship,25157.7,298.73,930.77,5183.63
Container ship,25442.9,297.67,929.3,5493.69
Container ship,24442.5,309.98,965.83,4777.68
Container ship,29618.1,309.95,966.8,5675.01
Container ship,26482.3,299.63,934.68,5372.12
Container ship,26654.6,310.55,968.34,5250.51
Container ship,12402.4,323.66,1008.9,2581.48
Container ship,25565.15,328.66,1023.47,4790.03
Container ship,24360.67495,324.94,1011.43,4679.52
Container ship,20755.12729,316.1,984.95,4277.33
Container ship,25400.9584,318.4,991.58,4799.37
Container ship,22176.718,349.06,1087.64,3837.37
Container ship,26003.52759,317.1,987.31,5135.25
Container ship,16121.78985,300.05,933.84,3533.88
Container ship,27700.53347,310.15,962.14,5642.8
Container ship,30907.97459,337.59,1051.31,5504.33
Container ship,32649.07999,355.62,1107.2,5529.0
Container ship,1741.2,206.21,643.27,618.4
Container ship,4786.7,277.3,866.5,1046.93
Bulk carrier,1458.83,97.55,304.51,1598.5
Bulk carrier,41.3,79.5,247.58,48.78
Container ship,9470.0,147.25,458.68,4984.0
Bulk carrier,1686.658,89.49,278.78,1679.8
Bulk carrier,1351.826,96.28,301.85,1358.0
Container ship,14145.775,178.32,555.38,5242.75
Bulk carrier,988.52,114.26,357.17,911.06
Bulk carrier,347.72,85.58,267.09,510.3
Bulk carrier,1004.02,120.62,375.94,764.8
LNG carrier,3346.11388,187.69,511.64,1301.85
Vehicle carrier,4203.697,105.23,328.01,2660.06
General cargo ship,2069.625,68.21,213.87,2734.0
Bulk carrier,2341.13,74.99,235.85,2650.63
Bulk carrier,733.221,66.7,210.26,1022.55
Bulk carrier,343.23,56.87,178.88,568.55
Bulk carrier,1200.6,108.75,341.26,979.2
LNG carrier,3947.12994,226.92,607.81,1122.2
Oil tanker,3157.31,199.25,622.47,2161.78
Oil tanker,5162.754,155.67,485.46,2672.9
Container ship,12791.64,247.79,773.39,3410.52
Container ship,13037.862,255.55,798.26,3406.1
Container ship,16806.0785,256.26,798.81,4257.88
Container ship,11816.4,302.24,944.64,2628.98
Other ship types,5173.13,142.24,444.69,4191.39
LNG carrier,5902.988,209.13,560.94,1846.42
Other ship types,1673.33,111.67,349.93,1184.07
Bulk carrier,1151.64,92.22,288.71,1182.48
Container ship,476.889807,87.34,271.99,378.0
Container ship,635.82,89.82,279.87,650.0
Bulk carrier,1756.97,105.1,327.75,1607.5
Bulk carrier,1616.04,71.97,225.9,2031.2
Bulk carrier,318.32,56.45,177.18,490.58
Bulk carrier,957.38,81.32,255.17,1148.08
General cargo ship,618.27,57.43,181.31,847.5
LNG carrier,4169.87,225.52,603.54,1380.03
Bulk carrier,685.45,65.67,204.52,904.98
Bulk carrier,1476.96,74.72,235.41,1618.73
Bulk carrier,1176.65,62.49,196.55,1821.9
Container ship,923.2,131.38,409.11,549.6
Container ship,14054.0,213.91,667.02,4309.86
Container ship,10258.14,174.83,547.1,3825.9
Container ship,8647.2499,215.41,672.12,2694.2
Bulk carrier,1356.63,113.93,363.1,1207.6
General cargo ship,1565.12,60.92,190.63,2121.41
Chemical tanker,459.6,76.32,237.99,605.3
Chemical tanker,1524.19,95.59,300.99,1437.4
Oil tanker,832.53,72.24,225.68,981.9
Oil tanker,1371.6,101.61,319.04,1129.8
Bulk carrier,933.52938,98.36,308.17,999.33
Bulk carrier,561.4925,98.56,308.72,454.9
Bulk carrier,2027.684,78.87,247.33,2301.81
Bulk carrier,1973.59,73.67,233.04,2464.1
Bulk carrier,754.75646,100.81,315.1,655.7
Oil tanker,2962.32,88.17,277.95,2964.7
Oil tanker,3110.32,90.75,284.65,2950.78
LNG carrier,6106.8967,449.28,1279.63,1030.59
LNG carrier,14310.9059,215.08,598.18,4811.88
LNG carrier,8794.743,247.47,693.93,2752.81
Passenger ship,21475.96,342.52,1076.15,4060.95
Bulk carrier,319.62,78.42,247.26,477.0
Passenger ship,16491.43,311.05,979.08,3871.2
Passenger ship,14229.69,279.73,884.35,3932.37
Chemical tanker,2605.163,86.73,271.29,2405.65
Chemical tanker,1232.224,89.47,280.61,1117.86
Chemical tanker,467.4,69.48,216.36,564.0
Chemical tanker,3819.27,86.34,270.11,3793.0
Bulk carrier,833.63,72.72,225.94,1007.51
Bulk carrier,437.85,61.26,192.81,614.17
Container ship,1223.35,123.46,384.45,717.08
Bulk carrier,2052.81,98.82,309.76,1946.33
Container ship,6088.93,242.15,754.86,1746.5
Container ship,7744.6,226.42,706.17,2705.18
Bulk carrier,1546.94,70.49,221.84,1893.36
LNG carrier,872.88,210.38,562.66,268.97
Bulk carrier,2599.233,90.47,283.15,2302.27
Bulk carrier,1400.913,84.77,265.52,1315.91
Bulk carrier,704.45,99.22,311.39,868.56
LNG carrier,14209.11,231.75,629.89,4512.7
LNG carrier,12091.07,223.69,600.35,3557.9
Bulk carrier,286.283,86.12,269.81,547.45
Bulk carrier,1315.48,66.01,206.36,325.08
Bulk carrier,423.42,64.99,204.93,508.4
General cargo ship,6594.1,86.2,269.59,6291.18
Bulk carrier,992.584344,76.42,241.08,1178.69
Vehicle carrier,3558.461,107.17,333.92,2139.99
Bulk carrier,1645.45,105.23,331.07,1604.85
Bulk carrier,465.51,95.73,299.76,510.34
Oil tanker,1916.6,126.84,397.75,1835.18
Oil tanker,1562.81,135.93,429.47,972.8
General cargo ship,736.779,71.63,223.24,925.2
General cargo ship,781.81,77.42,241.2,844.3
General cargo ship,1498.268,32.68,103.8,4413.92
General cargo ship,1349.786,34.34,109.07,3663.76
General cargo ship,1335.766,34.13,108.2,3770.68
General cargo ship,1372.83,34.87,110.51,3759.06
General cargo ship,1305.162,35.92,113.85,3563.52
General cargo ship,1373.26,37.38,118.16,3750.02
Other ship types,1480.25,156.65,487.83,985.65
Bulk carrier,2916.45503,70.97,223.23,3738.53
Bulk carrier,1573.64,162.79,507.01,938.1
Bulk carrier,1735.691,201.36,627.78,887.0
Bulk carrier,2263.47,86.2,269.12,2623.0
Bulk carrier,748.63,67.36,210.93,1330.6
Bulk carrier,1183.97,87.42,275.44,1320.82
Bulk carrier,1614.21,77.69,244.58,2030.47
Bulk carrier,45.55,65.25,203.18,68.86
Bulk carrier,982.34,89.81,281.76,1044.41
LNG carrier,4210.941,242.92,652.57,1364.66
Bulk carrier,1302.47,79.56,248.51,1529.9
General cargo ship,1632.92889,75.7,236.57,2618.15
Chemical tanker,600.574,69.85,218.07,810.23
Chemical tanker,3062.3,74.31,234.35,3798.67
Chemical tanker,2642.39,62.17,196.03,3641.22
Chemical tanker,1639.64,69.83,220.35,2289.35
LNG carrier,384.72,127.52,341.05,217.75
Bulk carrier,453.12,83.0,259.65,493.0
Bulk carrier,1467.84,80.37,250.81,1564.0
Bulk carrier,1921.76,85.08,266.85,2030.52
LNG carrier,1976.82,136.36,365.95,1058.1
Bulk carrier,1658.48,106.74,337.95,1485.02
General cargo ship,314.3,45.35,143.47,635.33
Container ship,9784.753,225.88,704.46,3027.9
Container ship,1478.6,209.54,655.0,18.9
Container ship,5641.95,87.33,273.35,4707.4
Bulk carrier,1010.09,101.17,315.6,969.0
Bulk carrier,2127.57,88.44,276.38,2115.43
Passenger ship,18720.28,253.16,789.45,5284.4
Bulk carrier,620.3,60.3,189.48,981.0
General cargo ship,3262.28,77.65,243.09,4151.03
Bulk carrier,627.6,53.91,169.65,970.23
Vehicle carrier,2055.01,102.72,320.96,1343.3
General cargo ship,441.8,32.41,101.66,1597.0
Bulk carrier,30.2,112.27,349.6,30.6
Bulk carrier,1017.54928,63.7,199.76,1743.9
Bulk carrier,944.3,77.06,242.98,1081.72
Bulk carrier,1553.32,57.45,179.32,2477.6
Bulk carrier,751.74,83.43,262.72,808.6
General cargo ship,122.92,87.99,274.02,129.4
Bulk carrier,490.366,66.47,209.55,690.4
Bulk carrier,1157.04,84.75,264.16,1157.2
Bulk carrier,381.4,69.65,217.25,485.8
Bulk carrier,270.83,140.18,436.81,212.2
Bulk carrier,636.32,92.06,290.76,620.37
Bulk carrier,3078.092,107.4,335.52,2789.68
Bulk carrier,1855.47968,100.4,313.6,1679.03
Bulk carrier,960.848,99.82,312.6,852.2
Ro-ro ship,3019.71,43.94,118.24,5658.81
Ro-ro ship,2749.64,43.83,117.87,5313.93
Bulk carrier,942.46,95.89,302.46,917.68
Bulk carrier,1751.65,106.48,335.86,1554.8
Combination carrier,452.3,35.42,111.86,1500.47
Oil tanker,4394.65,237.33,741.41,1360.3
Oil tanker,4323.03,226.58,707.1,1588.7
Bulk carrier,1416.693,105.01,328.86,1273.0
Bulk carrier,821.64,99.62,312.68,804.7
Bulk carrier,2500.394,56.59,177.2,4361.6
General cargo ship,123.81,59.96,189.61,222.0
Bulk carrier,101.32833,46.09,143.99,242.2
Bulk carrier,1015.8,87.7,273.58,1384.3
Bulk carrier,3318.98,101.01,315.25,3032.63
Bulk carrier,3652.79,104.9,327.65,3277.3
Bulk carrier,874.49,111.96,350.15,784.0
Bulk carrier,744.513,84.16,262.88,797.2
Bulk carrier,1198.36,88.92,277.97,1276.71
Bulk carrier,1103.217,71.98,225.09,1437.25
Bulk carrier,573.5,128.2,400.78,743.02
Bulk carrier,2367.53,87.5,274.56,2342.0
Bulk carrier,818.5,79.37,247.6,876.0
Bulk carrier,3634.34,83.9,263.35,3883.0
Chemical tanker,1475.499464,78.83,248.32,1500.65
Chemical tanker,1132.099813,98.86,312.0,1024.7
General cargo ship,1579.15,65.16,205.6,2531.42
Chemical tanker,3343.462,98.08,309.53,3466.1
Bulk carrier,322.517,81.44,255.67,328.2
Bulk carrier,847.458,79.7,249.84,920.0
General cargo ship,2259.77,80.03,250.07,2614.42
Bulk carrier,465.396,119.37,378.32,503.0
General cargo ship,766.52,77.81,244.11,916.79
Bulk carrier,99.84485,42.69,132.95,177.2
Bulk carrier,469.56,87.2,271.84,481.6
Oil tanker,6311.73,118.04,372.55,4746.18
Oil tanker,4864.13,126.99,399.72,3439.08
Oil tanker,8617.88,127.81,400.47,6450.78
Oil tanker,2846.9,109.85,345.32,2591.68
General cargo ship,421.83,27.91,89.49,1681.99
General cargo ship,978.03,26.79,85.89,3971.16
LNG carrier,19249.4,309.76,842.51,4069.19
General cargo ship,625.12,79.96,252.84,672.49
Bulk carrier,2072.76,90.97,283.72,2225.93
Bulk carrier,1036.25,88.54,279.28,1243.22
Bulk carrier,1077.27,86.97,272.0,1115.07
Bulk carrier,2726.577,93.32,291.44,2653.46
Bulk carrier,1656.559,88.39,277.87,1705.97
Bulk carrier,2288.476,68.04,213.01,2942.17
Bulk carrier,288.23,72.46,230.16,384.0
Bulk carrier,1680.912,70.64,220.87,2220.18
Bulk carrier,2055.71,69.15,216.88,2564.7
Bulk carrier,1038.616,72.08,226.39,1173.28
Bulk carrier,486.835,72.64,229.32,634.1
Bulk carrier,1705.41,92.09,289.41,1522.13
General cargo ship,1323.092,67.48,211.6,1935.32
General cargo ship,1252.38,46.57,145.47,3304.72
Container ship,8569.12,330.0,1028.63,1846.0
Container ship,13868.55,317.47,988.92,2767.6
Bulk carrier,1562.95,67.15,211.19,2179.2
Bulk carrier,739.98,73.5,230.58,1151.6
Bulk carrier,1076.53,72.3,225.46,1239.9
Bulk carrier,551.89,83.78,263.31,594.97
Bulk carrier,563.44,74.54,234.49,654.8
General cargo ship,196.1,21.06,67.52,1323.58
Oil tanker,647.68,92.08,289.64,720.1
General cargo ship,607.47,20.54,65.85,3267.02
General cargo ship,778.41578,28.8,92.32,2894.6
Bulk carrier,2044.31,96.0,299.69,2103.1
Bulk carrier,2818.1,75.08,236.31,3320.0
Bulk carrier,839.6,79.39,248.73,1213.0
Bulk carrier,1697.951,66.58,208.91,2806.4
Bulk carrier,2283.63,63.99,200.23,3358.5
Bulk carrier,1541.93,64.89,203.13,2283.33
Oil tanker,5602.9,203.56,652.6,3230.12
Bulk carrier,1472.43,92.47,291.93,1417.4
Bulk carrier,2057.209,73.17,229.55,2393.08
Bulk carrier,166.71,67.66,214.04,220.72
Bulk carrier,2329.98,94.56,296.13,2296.92
Bulk carrier,468.57,68.44,215.87,575.2
Bulk carrier,1730.75,68.62,214.88,2438.87
Bulk carrier,1448.229,59.14,184.45,1996.8
LNG carrier,4837.83467,265.75,714.34,1604.41
LNG carrier,3615.73792,172.76,465.33,1767.83
Bulk carrier,1109.0,79.19,248.2,1259.67
Passenger ship,9665.57,192.12,608.48,3695.06
Passenger ship,5490.27,183.77,574.19,2497.76
Bulk carrier,300.7,97.49,304.68,250.38
General cargo ship,1933.97,40.95,130.42,4510.22
Bulk carrier,619.6,86.38,271.35,760.62
Other ship types,1863.86,114.08,358.77,1368.52
Vehicle carrier,2520.32,98.58,304.79,1710.2
Bulk carrier,943.13,68.39,214.57,1263.96
Bulk carrier,3204.41,135.4,424.51,2546.93
General cargo ship,657.16,29.27,93.83,3524.57
Bulk carrier,569.52,72.6,226.94,654.0
Vehicle carrier,1755.38,104.41,322.65,1212.6
Bulk carrier,409.677,104.36,329.53,366.6
Other ship types,1227.29,42.42,134.13,2800.81
Bulk carrier,125.42,96.7,308.99,101.6
Bulk carrier,466.15,100.53,317.26,402.6
Bulk carrier,1175.14,69.69,218.62,1547.9
Bulk carrier,1524.47,65.84,205.74,2289.73
General cargo ship,330.17,79.97,254.12,380.54
Bulk carrier,554.46,102.79,323.12,500.3
General cargo ship,778.97,69.81,220.31,1025.7
Bulk carrier,158.62,93.48,296.88,156.8
Bulk carrier,382.26,88.58,277.02,413.2
General cargo ship,843.13,86.17,272.88,947.5
Bulk carrier,959.454,86.14,269.01,954.4
Bulk carrier,245.89,96.4,301.72,394.75
Oil tanker,3507.84,141.79,443.29,2068.58
Bulk carrier,1750.33,87.71,274.08,1972.0
General cargo ship,2078.59,59.5,190.77,3293.93
Container ship,5714.0,152.7,478.63,3100.4
Chemical tanker,3564.711,103.24,322.49,2952.88
Chemical tanker,2919.678,90.5,283.29,2691.34
Chemical tanker,2040.442,102.96,322.57,1803.43
Chemical tanker,562.59,107.02,335.83,441.6
LNG carrier,16332.96,238.11,641.06,4718.93
Chemical tanker,3854.975,94.68,296.15,3470.77
Chemical tanker,2438.465,77.33,242.09,2626.4
LNG carrier,8097.37,315.75,847.02,1609.48
LNG carrier,11672.07,256.4,687.96,2609.35
LNG carrier,2275.2,210.11,563.9,839.33
Other ship types,2677.19,97.39,308.11,3297.53
Bulk carrier,236.303,56.62,177.16,360.2
General cargo ship,1963.655,67.91,213.19,2244.9
Bulk carrier,1315.698,69.6,218.06,2012.28
LNG carrier,9631.354022,235.32,630.38,2516.9
LNG carrier,10256.158,28.62,77.95,2379.61
Gas carrier,1474.295,81.71,255.28,1577.69
Gas carrier,161.6,87.21,273.2,174.32
Chemical tanker,225.2,103.35,326.7,200.2
Bulk carrier,1171.99,68.66,214.09,1503.54
Oil tanker,5300.06,94.19,293.83,4824.52
Oil tanker,4402.14,90.94,284.38,3913.22
Oil tanker,2590.1,99.4,310.91,2123.27
Oil tanker,3463.18,95.98,299.17,2948.73
Bulk carrier,1110.34,84.56,267.22,1196.82
Passenger ship,21795.77,455.29,1420.16,2891.4
Bulk carrier,970.24,113.93,356.86,790.13
Bulk carrier,1207.35597,91.97,288.45,1088.08
Other ship types,3394.38,94.35,295.86,2959.67
Other ship types,2201.98,85.52,268.75,2019.63
General cargo ship,277.8,49.22,154.79,501.64
General cargo ship,495.28,41.27,129.6,1217.82
Gas carrier,1388.04,129.14,402.54,737.1
Bulk carrier,676.15,65.79,202.13,997.79
Oil tanker,2624.04,101.25,320.51,2426.9
Chemical tanker,2931.72,91.44,287.53,2832.0
Bulk carrier,659.9,70.82,220.83,1065.86
Chemical tanker,976.74,62.36,196.04,1370.75
Bulk carrier,1246.38,92.65,291.02,1305.0
Bulk carrier,896.92,91.91,289.89,876.0
Chemical tanker,622.14,78.94,249.23,595.07
Bulk carrier,2617.1,70.47,220.5,3326.62
Bulk carrier,2404.19,74.78,235.04,2757.57
Bulk carrier,1567.9,65.69,206.68,1097.37
Bulk carrier,1692.74,73.06,228.45,1841.0
Other ship types (Offshore),802.92,33.27,106.67,2030.83
Other ship types (Offshore),1413.09,41.43,132.83,4781.62
LNG carrier,3126.54565,171.38,458.16,1218.77
LNG carrier,4277.01674,226.69,616.91,1395.32
Gas carrier,1504.51,73.69,232.26,4663.96
Gas carrier,1951.8401,54.03,173.22,3728.71
Oil tanker,1229.26,83.26,263.41,1235.3
Chemical tanker,629.7,35.33,111.28,1934.52
Bulk carrier,1039.18,65.37,206.44,1524.8
Bulk carrier,893.03,70.0,219.62,1232.3
General cargo ship,1745.34,79.35,250.45,2378.0
Bulk carrier,1223.885,67.66,211.66,1567.63
Bulk carrier,831.073,71.41,223.81,1079.16
Bulk carrier,664.273,93.07,292.16,725.8
Bulk carrier,852.8,71.34,223.74,1010.01
General cargo ship,537.88,77.44,242.59,670.9
Bulk carrier,663.497,80.73,252.64,707.56
Bulk carrier,377.65,90.3,283.82,397.14
Gas carrier,961.1,94.36,295.91,809.2
General cargo ship,1469.87,52.84,164.97,2622.57
Bulk carrier,458.1,109.48,342.94,401.63
Oil tanker,2046.23,91.34,285.83,1954.4
LNG carrier,2188.155,210.64,566.16,845.2
General cargo ship,1891.31,84.24,263.04,2519.41
General cargo ship,683.82,84.54,267.08,699.08
General cargo ship,840.14,84.05,264.06,956.19
Bulk carrier,1408.56,61.45,192.16,1989.43
Bulk carrier,1835.83,105.75,330.61,1453.0
Bulk carrier,958.06,70.34,220.56,1283.61
Bulk carrier,1049.2,86.93,271.53,1192.39
Bulk carrier,670.48,80.12,251.01,829.1
Bulk carrier,1765.06,62.25,195.27,2662.38
General cargo ship,948.2,69.51,217.21,1286.5
Bulk carrier,1357.14,72.1,226.99,1797.1
Bulk carrier,550.73,87.1,274.8,577.8
Bulk carrier,956.85,68.22,212.58,1334.0
Bulk carrier,1462.837,83.13,262.98,2140.7
Oil tanker,437.4,95.66,297.89,459.5
Oil tanker,965.48,92.77,290.11,1040.3
Bulk carrier,847.33,107.38,336.5,754.6
Oil tanker,925.03,115.29,367.62,715.77
Bulk carrier,2026.981,94.47,294.47,2114.96
Bulk carrier,571.065,131.76,414.16,385.69
General cargo ship,1522.9,96.0,301.29,1243.55
Gas carrier,3802.4,89.7,283.24,3573.02
Oil tanker,4714.16,96.16,300.14,5448.2
Bulk carrier,1146.001,75.91,239.44,1443.5
Bulk carrier,1410.93,73.04,228.55,1904.5
General cargo ship,381.571,35.14,111.38,1276.67
Bulk carrier,455.91,95.2,298.35,452.3
Bulk carrier,610.242,98.1,309.3,598.4
Bulk carrier,603.75,90.45,282.19,651.5
Bulk carrier,1625.95,86.42,269.51,1532.65
Bulk carrier,1146.03,96.34,301.61,1185.1
Bulk carrier,855.911,103.24,324.6,761.1
Vehicle carrier,5006.26,99.64,310.7,3215.2
Vehicle carrier,764.71,98.32,310.63,597.8
Bulk carrier,1069.25,93.54,292.4,1366.3
Bulk carrier,1486.5,104.04,326.33,1325.58
Bulk carrier,651.54,70.83,221.61,865.53
Bulk carrier,1131.56,67.48,212.81,1627.8
Bulk carrier,3814.13,69.36,219.02,4631.9
Bulk carrier,405.881,49.15,153.45,752.5
General cargo ship,1502.82,46.85,150.21,5560.86
Oil tanker,2921.52,80.14,251.22,3059.3
Oil tanker,2402.55,148.43,462.95,1826.72
Oil tanker,2778.6,152.21,475.07,1484.2
Oil tanker,3891.3,149.7,467.55,2227.1
Oil tanker,7010.58,153.37,479.17,3946.42
Gas carrier,1338.6,55.97,175.31,2100.4
Bulk carrier,641.45,98.53,309.58,662.05
Container ship,24093.68165,289.89,904.02,4759.44
Container ship,5266.39,242.23,754.84,1624.5
Container ship,5857.01,237.76,741.96,1592.1
Bulk carrier,593.03,79.35,248.57,811.2
General cargo ship,1391.12,62.89,197.7,2158.08
Bulk carrier,1160.07,89.6,280.35,1521.4
Bulk carrier,39.0,73.31,228.28,56.4
Bulk carrier,2465.5,67.56,212.17,3144.87
Bulk carrier,1758.2,61.43,193.41,2576.32
Bulk carrier,1208.9,64.67,203.36,1616.58
Bulk carrier,623.37,65.21,204.74,937.28
Bulk carrier,2017.43,88.33,279.43,2140.1
Gas carrier,1416.46,80.55,252.36,1339.4
Gas carrier,2873.44,107.06,334.82,4408.8
Bulk carrier,1542.38,85.13,268.54,1697.8
Bulk carrier,1140.29,100.83,314.62,967.0
Container ship,9504.19,274.48,856.12,2075.0
Container ship,15338.12,297.29,926.21,3026.6
Container ship,6817.51,292.19,912.14,1410.3
Bulk carrier,1762.4,80.28,250.71,1847.0
General cargo ship,1313.82,63.3,198.93,1753.1
Bulk carrier,1798.63537,87.88,274.9,1831.8
Chemical tanker,2719.29,105.8,331.5,2336.2
Chemical tanker,1434.45,117.15,365.37,1406.6
Chemical tanker,2404.76,98.54,308.24,2360.58
Chemical tanker,2865.2,78.89,247.62,3087.28
Bulk carrier,1414.425,63.96,200.48,2040.95
Bulk carrier,282.4,91.2,285.16,266.73
Bulk carrier,224.72,60.48,189.34,422.8
Oil tanker,1353.696,83.76,263.21,1165.2
Bulk carrier,1085.052,67.66,212.61,1314.6
Bulk carrier,566.73667,82.73,262.04,559.3
Bulk carrier,465.58,54.74,171.51,730.04
Bulk carrier,1973.5,68.9,216.17,2546.9
Bulk carrier,2525.38,148.47,462.61,1847.8
Bulk carrier,987.03,80.46,252.3,1027.0
Vehicle carrier,3728.46,69.72,217.54,3801.0
Vehicle carrier,4330.82,68.31,212.99,4514.0
General cargo ship,2451.595,60.19,188.27,3870.68
Bulk carrier,952.87,86.8,273.85,927.4
Bulk carrier,1880.435,105.0,329.62,1562.8
Bulk carrier,205.66,106.89,334.81,163.5
Bulk carrier,644.71,76.35,239.28,750.8
